T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,T2_ld0,T_ld0,T2_ld1,T_ld1,T2_ld2,T_ld2
-2.86148E-05,0.001739023,-0.000457878,0.012778315,0.000176121,0.00261653,-0.000936863,-0.024836307,-0.002628155,0.12431164,0.001293477,0.016363019
-0.000743294,0.024233313,-0.000972225,0.019190826,2.55342E-05,0.003804589,-0.00395904,0.11812669,-0.002758466,0.16490246,0.000389646,0.021318344
-0.000635218,0.019294484,-0.000590433,0.012273442,0.000185039,0.002875303,-0.004426301,0.17121232,-0.001376176,0.10662868,0.001337795,0.060954336
-0.000626925,0.020051837,-0.000354802,0.014386856,0.000492342,-0.003669384,-0.000862488,0.055025261,-0.000237356,0.071488857,0.002237276,0.024066558
-0.0006379,0.021614673,-0.000468056,0.010260137,0.000378911,-0.001687649,-0.000566763,0.034757759,-0.001111115,0.043377433,0.001003514,0.010692917
-0.000549281,0.018787632,-0.000689218,0.015863914,0.000317287,0.006605604,-0.002211402,0.10200296,-0.006685038,0.24358481,0.002060375,0.041039348
-0.000535672,0.015743075,-0.000509251,0.00283051,0.000362442,0.002703306,-0.004429829,0.18203528,-0.006549874,0.20969549,0.001862841,0.076167613
-0.00063468,0.017406749,-0.001237227,0.028766533,0.000302242,-0.004233454,-0.00261992,0.068755373,-0.00479879,0.14428239,0.001593904,0.059934039
-0.000351464,0.01271632,-0.001018771,0.020575894,0.000134907,0.000433537,-0.002467651,0.076327704,0.00022699,0.033574708,0.000523709,0.052530371
-0.000113994,0.006146072,-0.00085021,0.015585937,-1.99838E-05,0.004915354,-0.000842487,0.037701413,-0.004163303,0.15228203,0.001141677,0.069039434
-0.000977676,0.028841553,-0.000409076,0.007453498,-4.05748E-05,0.005204127,-0.001961748,0.069338225,-0.00399775,0.13522741,0.003229656,-0.021577626
-0.000707699,0.02235401,-0.000593148,0.017397873,0.000393429,0.001310459,-0.003383534,0.11095569,-0.006055442,0.19677989,0.001587749,0.062321119
-0.000547989,0.011709866,-0.000489554,0.007565346,0.000210132,0.002085047,-0.003498129,0.07884261,-0.005915795,0.22534744,0.002258476,0.013217575
-5.18175E-05,0.000100792,-0.000704707,0.0096548,0.000195427,0.002605381,0.00142209,-0.063048676,-0.004801531,0.15484406,0.002288314,0.047944389
-7.26164E-05,0.001485306,-0.000513196,-0.00265087,2.35389E-05,0.009704658,-0.002783301,0.068628304,-0.004921715,0.1544248,0.001724175,0.047462068
-0.000468043,0.010450251,-0.00037509,0.0110897,0.000185357,0.002022924,-0.003496979,0.086374544,-0.003805081,0.10587552,0.000658592,0.035651263
-0.000711976,0.017790522,-0.000838213,0.016047593,0.000117034,0.009934648,-0.003787637,0.046258293,-0.006350533,0.1772207,0.00098837,0.011841041
-0.00048325,0.016861016,-0.000111297,0.00061139,0.00018621,0.003814094,-0.006353493,0.17587531,-0.002706234,0.096312739,0.000480179,0.050740257
-0.000747289,0.020666495,-0.001043789,0.017787933,0.000338555,-0.003791527,-0.003972248,0.11279537,-0.009078175,0.25912365,0.004039486,0.026989322
-0.000617737,0.019839574,-0.000458707,0.015005255,0.000293866,-0.00092159,-0.002635066,0.11910526,-0.001916206,0.044415798,0.001649409,0.016195886
-0.000891385,0.031611554,-0.000690334,0.015173498,0.000166523,0.002043525,-0.005372878,0.19163309,-0.005634944,0.19496164,0.002167629,0.026145918
-0.000104866,0.000238941,-0.000477556,0.007074917,0.000344579,-0.003388265,0.000566257,-0.025420617,-0.002057606,0.088787585,0.001449407,0.035254207
-0.000493793,0.013830015,-0.000745034,0.012914403,7.94133E-05,0.003431556,-0.001577236,0.044450637,-0.003440435,0.1651707,0.002062293,0.044714417
-0.000334626,0.011829741,-0.000243318,0.007040905,9.07851E-05,-9.26634E-05,-0.004280584,0.11554587,-0.000635239,0.06347952,0.000442758,0.006046575
-0.000638091,0.018262943,-0.000317906,0.006905514,0.000490855,-0.002081265,-0.000894295,0.070200659,-0.003854331,0.15085682,0.001417145,0.085036471
-0.000448472,0.01290724,-0.000259217,0.005232914,0.000323286,0.002751224,-0.002291878,0.089698523,-0.00456931,0.22062995,0.002158362,0.068947919
-0.000360275,0.014759726,0.000194122,-0.009549046,2.23061E-05,0.003949242,-0.002250269,0.074544802,-0.003557779,0.17351998,8.07461E-05,0.048988625
-0.000889599,0.028097687,-0.000484875,0.015015691,0.000189585,0.002347051,-0.002678316,0.10742853,-0.002115395,0.10670815,0.001010638,0.01055342
-0.000356402,0.00774015,-0.000414397,0.012624721,0.000304143,0.008054817,-0.002682365,-0.003974657,-0.008774099,0.31935567,0.002830158,0.25781614
-0.000671226,0.016270444,-0.000465533,0.011698982,0.000309868,0.000858963,-0.004405116,0.12866376,0.000841464,-0.009044348,-0.001231443,0.053782847
-0.00024234,0.006007701,-0.000105235,0.003337666,0.00025915,-0.000767837,-0.002503785,0.051985685,-0.003544268,0.14325278,0.002366819,0.002279715
-0.000503455,0.013041579,-0.000605046,0.011312768,0.000466026,-0.001924129,-0.003190799,0.037630767,-0.001620357,0.047952332,0.002241851,-0.029952064
-0.000315072,0.005258526,-0.000563157,0.011967956,0.000246208,0.002317482,-0.000349831,-0.019387871,-0.002672478,0.088166915,0.000840484,0.049494319
-0.000601823,0.01660862,-0.001112244,0.027244592,0.000200979,0.004756597,0.000372763,-0.031867925,-0.002595935,0.13363285,0.000769729,0.05729707
-0.000332051,0.009801549,-0.000263691,0.008747847,0.00052259,0.002440509,-0.000275524,0.058238104,-0.001139676,0.070712171,0.001360218,0.063221209
-0.000394963,0.011269532,-9.88432E-05,0.004159098,0.000282435,0.00108802,-0.002052424,0.064296864,-0.00685847,0.23655869,0.00243247,0.041581064
-0.000597108,0.02189558,-0.000845067,0.01990954,0.000193831,0.002672694,-0.001946767,0.058925204,-0.003320383,0.10947531,0.000605306,0.071401894
-0.000288799,0.00171137,-0.000659832,0.016546136,-4.17362E-05,0.00684194,-0.001821877,-0.009395718,-0.004026214,0.13556953,0.001483335,0.033384904
-0.00066347,0.018498586,-0.000392192,0.013522206,0.000327061,-0.000788863,-0.003266106,0.11605858,-0.004504532,0.092035256,0.004276712,-0.056180857
-0.000493163,0.011585742,-0.000307739,0.013255395,0.000360087,-0.004292479,-0.003909756,0.053122751,-0.003964595,0.20635344,0.002567457,0.009433279
-0.000858109,0.022496806,-0.000460651,0.014223028,0.000140009,0.001505326,-0.006008571,0.15581585,-0.001097664,0.038305596,0.0005854,0.037949465
-0.000376107,0.009175107,-0.000942244,0.018747037,0.000422584,0.00371001,-0.000379094,-0.022054199,-0.003859022,0.16871341,0.001420566,0.080092765
-0.000805263,0.027630555,-0.000614528,0.018215017,0.000182266,0.001121596,-0.002129067,0.036194552,-0.002311814,0.08521238,3.70187E-05,0.048410866
-4.41512E-05,0.002014161,-0.000806707,0.018258391,0.000295451,0.001437557,-0.000801571,0.022703011,-0.004790551,0.16995907,0.00150013,0.03668293
-0.000320518,0.008844657,-0.000334308,0.013226436,0.000242402,-0.000744781,-0.00162077,0.029687969,-0.002168647,0.11674881,0.000640831,0.038902365
-0.000723519,0.020933518,-0.000525893,0.011323433,0.000497719,-0.004519921,-0.005368726,0.1633437,-0.008024661,0.25750986,-7.39201E-05,0.051629607
-0.000102142,-0.001206526,-3.02591E-05,-0.00067127,0.000155912,-0.002018092,-0.002240454,0.051704034,-0.00411451,0.15661015,-0.000363379,0.060630906
-0.0003052,0.007956028,-0.000517212,0.011422882,0.000535005,-0.004478595,-0.004597523,0.12683377,-0.002842168,0.14190529,0.003371743,-0.015051237
-0.000512311,0.018982084,-0.000375171,-3.36384E-05,0.000325358,0.004065254,-0.00408425,0.16778636,-0.004925107,0.21485671,0.002181841,0.024895974
-0.000378581,0.011894542,-0.000723523,0.009247248,0.000439376,-0.001890464,-0.003029186,0.13751669,-0.003828421,0.11119139,0.003253492,-0.009502756
-0.000788338,0.024712639,-0.000806157,0.016332772,0.000109885,0.003350179,-0.002837838,0.11507667,-0.000332245,0.079915494,-0.000707619,0.12573166
-0.00013217,0.00273962,-0.000468652,0.008613588,0.000321083,-9.69838E-05,-0.001418742,0.035359506,-0.000647945,0.10119964,0.001309171,0.024583777
